,Gene,Tissue,CHR,geneBP,nSignifSNPs,h2score
0,ENSG00000138613,Thyroid,chr15,63276018,94,6561.51703654482
1,ENSG00000138613,Skin_Sun_Exposed_Lower_leg,chr15,63276018,48,961.1819745345
2,ENSG00000138613,Skin_Not_Sun_Exposed_Suprapubic,chr15,63276018,32,696.4112612552331
3,ENSG00000138613,Pancreas,chr15,63276018,41,621.318288481359
4,ENSG00000138613,Nerve_Tibial,chr15,63276018,3,114.160153900641
5,ENSG00000100599,Cells_Cultured_fibroblasts,chr14,92513774,41,1357.43126153851
6,ENSG00000100599,Colon_Sigmoid,chr14,92513774,20,1112.41813939904
7,ENSG00000100599,Esophagus_Mucosa,chr14,92513774,23,538.775594070127
8,ENSG00000100599,Esophagus_Muscularis,chr14,92513774,31,521.598343485958
9,ENSG00000100599,Lung,chr14,92513774,21,473.57936457512494
10,ENSG00000064687,Whole_Blood,chr19,1040101,51,4490.203742830779
11,ENSG00000064687,Nerve_Tibial,chr19,1040101,51,1733.1496334337398
12,ENSG00000064687,Lung,chr19,1040101,36,1600.5171058997598
13,ENSG00000064687,Artery_Tibial,chr19,1040101,25,984.5366148659599
14,ENSG00000064687,Spleen,chr19,1040101,21,888.3063649594161
15,ENSG00000087589,Cells_Cultured_fibroblasts,chr20,56412112,34,2165.27205458334
16,ENSG00000087589,Muscle_Skeletal,chr20,56412112,6,91.5982203861363
17,ENSG00000087589,Whole_Blood,chr20,56412112,7,87.2937992176152
18,ENSG00000087589,Esophagus_Muscularis,chr20,56412112,2,49.0092358088209
19,ENSG00000087589,Skin_Not_Sun_Exposed_Suprapubic,chr20,56412112,2,27.225729040335
20,ENSG00000142192,Esophagus_Muscularis,chr21,26171128,48,5512.77719580129
21,ENSG00000142192,Whole_Blood,chr21,26171128,50,2792.8474343731104
22,ENSG00000142192,Heart_Left_Ventricle,chr21,26171128,20,1478.17427617365
23,ENSG00000142192,Esophagus_Gastroesophageal_Junction,chr21,26171128,14,685.887566225523
24,ENSG00000142192,Esophagus_Mucosa,chr21,26171128,7,407.90094308723997
25,ENSG00000095970,Nerve_Tibial,chr6,41163186,18,191.67447199756
26,ENSG00000095970,Whole_Blood,chr6,41163186,8,33.7770116501045
27,ENSG00000095970,Lung,chr6,41163186,5,25.774063728109603
28,ENSG00000095970,Colon_Sigmoid,chr6,41163186,1,22.2135873272643
29,ENSG00000095970,Brain_Spinal_cord_cervical_c-1,chr6,41163186,1,20.7417983365979
30,ENSG00000137845,Skin_Sun_Exposed_Lower_leg,chr15,58749978,81,10075.9136543041
31,ENSG00000137845,Esophagus_Mucosa,chr15,58749978,83,5256.75349284423
32,ENSG00000137845,Skin_Not_Sun_Exposed_Suprapubic,chr15,58749978,89,3969.4690241908797
33,ENSG00000137845,Muscle_Skeletal,chr15,58749978,73,2758.32893637313
34,ENSG00000137845,Thyroid,chr15,58749978,80,1287.4515500600698
35,ENSG00000108798,Cells_Cultured_fibroblasts,chr17,49210227,8,134.687407411691
36,ENSG00000108798,Skin_Not_Sun_Exposed_Suprapubic,chr17,49210227,1,17.3716274113283
37,ENSG00000137642,Spleen,chr11,121452203,4,332.082882645406
38,ENSG00000137642,Esophagus_Muscularis,chr11,121452203,6,117.50922636085501
39,ENSG00000137642,Thyroid,chr11,121452203,6,108.48393056972701
